name,ingredients
Mojito,50 ml White Rum8 Mint leaves12 1/2 ml Sugar Syrup25 ml Lime Juice2 Mint sprigs
Martini,50 ml Gin10 ml Dry VermouthLemon twist
Daiquiri,50 ml White Rum1 1/2 bar spoons Sugar25 ml Lime JuiceLime slice
Old Fashioned,50 ml Bourbon2 dashes Angostura Bitters1 dash Orange Bitters1 bar spoon SugarOrange peel
Cosmopolitan,37 1/2 ml Citrus Vodka12 1/2 ml Triple Sec30 ml Cranberry Juice1/2 squeezed lemon12 1/2 ml Sugar Syrup
Caipirinha,50 ml Cachaca1/2 Lime1 teaspoon Brown SugarLime Wedge
White Russian,37 1/2 ml Vodka25 ml Coffee Liqueur15 ml Cream15 ml MilkChocolate PowderCoffee Bean
Pina Colada,50 ml White Rum100 ml Pineapple Juice25 ml Coconut Cream25 ml CreamPineapple Slicepinch of Salt
Negroni,25 ml Gin25 ml Sweet Red Vermouth25 ml CampariOrange Peel
Bramble,50 ml Gin10 ml Crème de Mure25 ml Lemon Juice12 1/2 ml Sugar SyrupBlackberry
Margarita,37 1/2 ml Tequila12 1/2 ml Triple Sec25 ml Lime Juice12 1/2 ml Simple Syrupsalt
Dark `N` Stormy,50 ml Dark Rum 4 Lime quarters1 1/2 bar spoons Brown Sugarsplash Ginger BeerLime wedge 
Cuba Libre,50 ml Anejo Rum8 Lime wedges100 ml ColaLime wedge
Sazerac,50 ml Rye Whiskey5 ml Absinthe3 dashes of  Peychauds BittersSugar CubeLemon Peel
Bloody Mary,37 1/2 ml Peppered Vodka15 ml Sweet Vermouth35 ml Tomato Juicesplash Red Wine6 splashes Worcestershire sauce10 dashes Tobasco sauce25 ml Lemon Juice10 dashes Salt10 dashes Pepper3 Cucumber slices 
Manhattan,50 ml Bourbon10 ml Sweet Vermouth10 ml Dry Vermouth2 dashes Angostura BittersOrange peel
Long Island Iced Tea,15 ml Gin15 ml Vodka15 ml Tequila15 ml White Rum15 ml Triple Sec25 ml Lemon Juice30 ml Gomme syrupsplash of  Cola
Mai-Tai,20 ml Dark Rum20 ml Light Rum splash Demerara 20 ml Triple Sec20 ml Lime Juice10 ml Orgeat SyrupMint sprigOrange wedge
Amaretto Sour,50 ml Amaretto25 ml Lemon Juice12 1/2 ml Simple Syrupdash Egg-White dash Angostura BittersLemon Zest
Singapore Sling,37 1/2 ml Gin12 1/2 ml Cherry Heering12 1/2 ml Benedictine25 ml Lemon Juice2 dashes Orange Bitters2 dashes Angostura Bittersdash Soda WaterLemon slice
French Martini,25 ml Vodka / 25 ml Chambord / 75 ml  Pineapple Juice / 3 Raspberries for Garnish
Espresso Martini,37 1/2 ml Vanilla Vodka12 1/2 ml KahlúaDouble Espresso12 1/2 ml Sugar Syrup3 Coffee Beans
Strawberry Daiquiri,37 `1/2 ml Bacardi Rum12 1/2 ml Strawberry Liqueur25 ml Lime Juice12 1/2 ml Sugar Syrup1 Strawberry
Moscow Mule,37 1/2 ml Vodka25 ml Lime juice12 1/2 ml Sugar Syrupsplash Ginger Beer
Clover Club,37 1/2 ml Caorunn Gin37 1/2 ml Lemon Juice20 ml Sweet Vermouth20 ml Raspberry Syrup1 Egg White
Mint Julep,50 ml Knob Creek Bourbonbar spoon Granulated Sugar8 Mint leavesMint sprigs
John Collins,50 ml Bourbon Whiskey25 ml Lemon Juice12 1/2 ml Sugar Syrupsplash of Soda WaterMaraschino Cherry
Gin Sour,50 ml Gin25 ml Lemon Juice12 1/2 ml Simple SyrupSplash Egg-White
Appletini,40 ml Vodka15 ml Apple Schapps15 ml Triple SecApple Slice
White Lady,50 ml Gin25 ml Triple Sec25ml Lemon JuiceLemon Rind
Black Russian,45 ml Vodka25 ml Coffee Liqueur
Brandy Alexander,37 1/2 ml Brandy20 ml Crème de Cacao50 ml MilkGrated Nutmeg
French 75,37 1/2 ml Caorunn Ginsplash Champagne10 ml Sugar Syrup15 ml Lemon Juice
Navy Grog,50 ml Dark Rum25 ml Light Rum20 ml Lime Juice50 ml Pink Grapefruit Juice12 1/2 ml Runny HoneyTop-Up Soda
Rusty Nail,50 ml Scotch Whisky25 ml Whiskey Liqueur
Pisco Sour,50 ml Pisco12 1/2 ml Simple Syrup25 ml Lime Juicesplash Egg WhiteLime wedge
Bucks Fizz,50 ml Orange Juice100 ml Champagne
Rum Runner,37 1/2 ml Aged Rum20 ml White Rum12 1/2 ml Creme de Banane12 1/2 ml Creme de Mure15 ml Pineapple Juice15 ml Orange JuiceOrange slice
El Presidente,50 ml Aged Rum12 1/2 ml Orange Liqueur10 ml Dry Vermouthsplash GrenadineOrange Peel
WooWoo,37 1/2 ml Peach Schnapps37 1/2 ml Vodka90 ml Cranberry Juice
Kir Royale,80 ml Champagne20 ml Crème de Cassis
Bellini,100 ml Prosecco50 ml Peach puree4 dashes Peach Bitters
Lemon Drop Martini,"37 1/2 ml Vodka,12 1/2 ml Orange Liqueur12 1/2 ml Sugar Syrup25 ml Lemon JuiceLemon TwistSugar"
Pink Gin,25 ml Gin3 dashes Angostura Bitters
Salty Dog,50 ml Vodka20 ml Dry Sherry37 1/2 ml Grapefruit Juice15 ml Sugar SyrupSaltGrapefruit Zest
B-52,10 ml Coffee Liqueur10 ml Irish Cream Liqueur10 ml Triple Sec
Painkiller,50 ml Dark Rum25 ml Coconut Cream100 ml Pineapple Juice25 ml Orange JuiceOrange Wheel
Screwdriver,50 ml Vodka100 ml freshly squeezed Orange JuiceLime wedge
French Connection,25 ml Cognac25 ml Amaretto
Paloma,50 ml Tequila27 1/2 ml Pink Grapefruit Juice20 ml Sugar Syrup10 ml Lime JuicePink Grapefruit wedge
Royal Hawaiian,37 1/2 ml Gin25 ml Pineapple Juice25 ml Lemon Juice5 ml Orgeat Syrup12 1/2 ml Simple SyrupLemon SliceMint Leaves
Tommy`s Margarita,50 ml Tequila25 ml Lime Juice12 1/2 mlLemon SlicesBlackberry
Sea Breeze,50 ml Vodka50 ml Cranberry Juice37 1/2 ml Grapefruit JuiceLime Slice
Ramos Gin Fizz,50 ml Gin25 ml Double Cream1 Egg White15 ml Lemon Juice15 ml Lime Juice20 ml Sugar Syrup4 drops Orange Flower Watersplash of Soda WaterLemon Zest Twist
El Diablo,37 1/2 ml Tequila12 1/2 ml Crème de Cassis12 1/2 ml Lime JuiceGinger Beer
Breakfast Martini,45 ml Gin20 ml Triple Sec20 ml Lemon Juice12 1/2 ml Sugar Syrup1 heaped spoon of Orange Marmaladeflamed lemon zest
Caipivodka,50 ml Vodka1/2 Lime2 teaspoons Refined SugarLemon Slice
Baja Gold,50 ml Tequila12 1/2 ml Triple Sec50 ml Pineapple Juice12 1/2 ml Lime Juice12 1/2 ml Simple SyrupLime Wedge
Sex on the Beach,25 ml Vodka / 25 ml Peach Schnapps / 40 ml Orange Juice / 20 ml Cranberry Juice / Orange Slice for Garnish
Tequila Sunrise,50 ml Tequila80 ml Orange Juicedash Grenadine SyrupLime wedgeOrange slice
Bronx,50 ml Gin12 1/2 ml Sweet Red Vermouth12 1/2 ml Dry Vermouth25 ml Fresh Orange JuiceOrange Zest TwistMaraschino Cherry
Caribbean Sunrise,45 ml Rum60 ml Orange Juice15 ml Grenadine SyrupOrange Slice
Gibson,"60 ml Gin10 ml Dry Vermouth ,1 Silverskin Onion"
Bay Breeze,50 ml Vodka25 ml Pineapple Juice25 ml Cranberry Juice25 ml Lemon Juice12 1/2 ml Sugar SyrupOrange Wedge
Raspberry Mojito,50 ml White Rum15 ml Raspberry Liqueur25 ml Lime Juice35 ml Soda Water2 Bar Spoons Superfine Sugar5 Raspberries8 Mint Leaves
SideCar,37 1/2 ml Cognac12 1/2 ml Triple Sec20 ml Lemon Juicedash Egg White5 ml Sugar SyrupOrange peel
Champagne Cocktail,100 ml Champagne25 ml Brandy1 heaped bar spoon Sugar4 dashes Angostura Bitters
Godfather,37 1/2 ml Scotch Whiskey12 1/2 ml Amaretto
Hemingway Daiquiri,50 ml White Rum10 ml Maraschino Liqueur12 1/2 ml Grapefruit Juice12 1/2 ml Lime Juice12 1/2 ml Simple SyrupMaraschino Cherry
Raspberry Daiquiri,"50 ml Light Rum25 ml Lime Juice2 spoons Caster Sugar6 Raspberries,"
Blueberry Collins,50 ml Gin25 ml Lemon Juice12 1/2 ml Vanilla Sugar Syrup19 BlueberriesTop-Up Soda water
Gimlet,60 ml Premium Gin10 ml Lime Cordial
Chocolate-covered Cherry,30 ml Baileys Cream Liqueur30 ml Coffee Liqueur1 Tablespoon Grenadine Syrup
Lemongrad,50 ml Citron Vodka25 ml Lemon Juice12 1/2 ml Elderflower CordialTop-Up Tonic WaterPink Grapefruit Wedge
Planters Punch,50 ml Dark Rum30 ml Lime Juice10 ml Grenadine Syrup15 ml Sugar SyrupSplash of Soda Water2 dashes Angostura Bitters
Blushing Bride,25 ml Peach Schnapps100 ml Champagne25 ml Grenadine Syrup
Gin Rickey,50 ml Gin25 ml Lime Juice12 1/2 ml Sugar SyrupSoda WaterLime wedge
Passion Fruit Daiquiri,25 ml Bacardi Rum25 ml Passoa25 ml Lime Juice12 1/2 ml Sugar Syrup1 Passion Fruit
Cantarito,37 1/2 ml Tequila12 1/2 ml Lime Juice12 1/2 ml Orange Juice12 1/2 ml  Lemon Juice10 ml Grapefruit SodaLemonLime & Orange wedgesSalt
Brandy Collins,50 ml Brandy25 ml Squeezed Lemon Juice15 ml Sugar Syrup15 ml Soda WaterMaraschino CherryLemon Slice
Volcano,125 ml Golden Rum25 ml Dark Rum10 ml 151 Rum6 dashes Absinthe6 dashes Angostura Bitters50 ml Pink Grapefruit Juice50 ml Orange Juice50 ml Pineapple Juice50 ml Lime Juice25 ml Falernum50 ml Grenadine SyrupCinnamon
Americano,25 ml Campari25 ml Sweet Vermouthdash of Soda WaterLemon Peel
Accomplice,50 ml Vodka25 ml Lemon Juice12 1/2 ml Sugar SyrupChampagne3 Strawberries
Berry Nice,50 ml Raspberry Vodka5 ml Black Raspberry Liqueur12 1/2 ml Lemon Juice8 BlackberriesTop-Up Ginger Beer
Mojito Royal,40 ml White Rum30 ml Lime Juice 3 Mint Leaves2 teaspoons SugarSplash of Champagne
Tom Collins,37 1/2 ml Gin25 ml Lemon Juice12 1/2 ml Sugar Syrupsplash Soda Water
Blackberry Mule,37 1/2 ml Vodka20 ml Crème de Mure25 ml Lime JuiceTop-Up Ginger Beer6 BlackberriesAromatic Bitters
Toasted Almond,37 1/2 ml Amaretto37 1/2 ml Coffee Liqueur25 ml Cream
Boston Sour,50 ml Bourbon Whiskey25 ml Lemon Juice12 1/2 ml Sugar Syrup12 1/2 ml Egg-WhiteLemon Zest
Detropolitan,25 ml Vodka12 1/2 ml Triple Sec5 ml Black Raspberry Liqueur37 1/2 ml  Cranberry Juice12 1/2 ml Lime Juice
Alaska Cocktail,37 1/2 ml Gin20 ml Yellow Chartreuse3 drops Orange BittersOrange Zest Twist
Cheeky Vimto,275 ml Blue WKD / 50 ml Port
Amaretto Sunrise,45 ml Amaretto90 ml Orange Juice15 ml Grenadine SyrupOrange Slice
Ballet Ruse,50 ml Vodka20 ml  Black Raspberry Liqueur25 ml Lime Juice12 1/2 ml Sugar Syrup
Beachcomber,37 1/2 ml Light Rum12 1/2 ml Triple Sec1 dash Maraschino Liqueur12 1/2 ml Lime Juice
Blind Russian,50 ml Vodka20 ml Coffee Liqueur30 ml Irish Cream Liqueur
Midori Sour,25 ml Melon Liqueur25 ml Sweet and Sour mix50 ml Lemon and Lime Soda
Donald Sutherland,45 ml Rye Whiskey25 ml Drambuie
Southside,50 ml Gin25 ml Lime Juice35 ml Soda Water2 dashes Grapefruit Bitters2 Bar Spoons Superfine Sugar6 Mint Leaves
Wahine,37 1/2 ml Light Rum25 ml Vodka37 1/2 ml Pineapple Juice25 ml Lemon Juice12 1/2 ml Sugar SyrupMint Sprig
